"uniqRowID","overalGradeDiff"
"000143a7618ac9cae91b0bf7d059c1fd_4","57.66031298130488"
"000143a7618ac9cae91b0bf7d059c1fd_5","81.0461937506537"
"000143a7618ac9cae91b0bf7d059c1fd_6","21.216371362794742"
"000143a7618ac9cae91b0bf7d059c1fd_7","62.50136742815425"
"0019bbc70f71e4620273237a1e99bfde_1","18.761143469530783"
"0019bbc70f71e4620273237a1e99bfde_2","19.28716946849107"
"0019bbc70f71e4620273237a1e99bfde_4","73.59954475909943"
"0019bbc70f71e4620273237a1e99bfde_5","37.706050394961395"
"0019bbc70f71e4620273237a1e99bfde_9","20.89683671418597"
"0019bbc70f71e4620273237a1e99bfde_11","67.4764103693381"
"00e96ba3612eb828cbb6511fe2e899f3_1","26.98370824098706"
"00e96ba3612eb828cbb6511fe2e899f3_4","35.51681695692657"
"00e96ba3612eb828cbb6511fe2e899f3_7","76.1886972798503"
"00e96ba3612eb828cbb6511fe2e899f3_9","20.897445239492956"
"00e96ba3612eb828cbb6511fe2e899f3_11","45.10892479831625"
"00e96ba3612eb828cbb6511fe2e899f3_14","22.560337269485213"
"01ce9bb3e240242c13adf7e95f09b865_1","52.43380190841003"
"01ce9bb3e240242c13adf7e95f09b865_2","78.73390927508741"
"01ce9bb3e240242c13adf7e95f09b865_4","81.0560471531338"
"021dda0c1bad52f0b5a3829ad0a8e0de_4","35.142845914720844"
"021dda0c1bad52f0b5a3829ad0a8e0de_9","20.656406072750727"
"022c90700569a3674e703860b70614b2_1","27.756900430576525"
"022c90700569a3674e703860b70614b2_4","56.94639172113273"
"022c90700569a3674e703860b70614b2_5","37.62616432965084"
"022c90700569a3674e703860b70614b2_7","72.87471771559989"
"022c90700569a3674e703860b70614b2_8","21.109253360918526"
"022c90700569a3674e703860b70614b2_9","36.711782009124015"
"022c90700569a3674e703860b70614b2_14","22.67682819962472"
"022c90700569a3674e703860b70614b2_15","30.94920117680756"
"02690b095cb73fd9d47fde5671eb5d22_1","71.83234382143786"
"02690b095cb73fd9d47fde5671eb5d22_2","78.96708114715938"
"02690b095cb73fd9d47fde5671eb5d22_4","74.53324907620485"
"029c116f4649c2bf527e55afb32fcae5_0","19.361817597639043"
"02c78549a70435837a6b4d35a1e6fadd_1","63.696556140760585"
"02c78549a70435837a6b4d35a1e6fadd_2","52.98089652011896"
"02c78549a70435837a6b4d35a1e6fadd_5","63.12157451613458"
"02c78549a70435837a6b4d35a1e6fadd_7","82.66077295170679"
"02c78549a70435837a6b4d35a1e6fadd_8","35.71379172156701"
"02c78549a70435837a6b4d35a1e6fadd_11","21.357905198084435"
"02c78549a70435837a6b4d35a1e6fadd_14","21.90521777596818"
"036229fe75b61a8310e112b2ca147c2e_1","26.788120458564645"
"036229fe75b61a8310e112b2ca147c2e_2","22.273951278391724"
"036229fe75b61a8310e112b2ca147c2e_4","57.78932840325955"
"036229fe75b61a8310e112b2ca147c2e_5","37.26971418427439"
"036229fe75b61a8310e112b2ca147c2e_7","46.40450986735873"
"036229fe75b61a8310e112b2ca147c2e_8","30.8923693604675"
"036229fe75b61a8310e112b2ca147c2e_9","26.27355920049411"
"036229fe75b61a8310e112b2ca147c2e_11","42.253192705305395"
"036229fe75b61a8310e112b2ca147c2e_14","42.24279545182598"
"037cb72abcd5e13b2cab5414f63b5967_2","52.119678913779275"
"037cb72abcd5e13b2cab5414f63b5967_3","16.694568570634942"
"037cb72abcd5e13b2cab5414f63b5967_4","35.134171406301874"
"037cb72abcd5e13b2cab5414f63b5967_9","19.959060968824073"
"037cb72abcd5e13b2cab5414f63b5967_11","38.142468066774704"
"037cb72abcd5e13b2cab5414f63b5967_14","60.49759247236681"
"037cb72abcd5e13b2cab5414f63b5967_15","38.108494457529254"
